Fecha ,Total privado no financiero,Largo plazo residentes,Largo plazo no residentes ,Total largo plazo,Corto plazo residentes,Corto plazo no residentes ,Total corto plazo ,Moneda local residentes ,Moneda local no residentes ,Total moneda local ,Moneda extranjera residentes ,moneda extranjera no residentes,Total moneda extranjera 
01/06/2009,211.2,189.5,0.0,189.5,21.7,0.0,21.7,211.2,0.0,211.2,0.0,0.0,0.0
01/07/2009,227.5,201.8,0.0,201.8,25.7,0.0,25.7,227.5,0.0,227.5,0.0,0.0,0.0
01/08/2009,229.9,201.3,0.0,201.3,28.6,0.0,28.6,229.8,0.0,229.8,0.0,0.0,0.0
01/09/2009,230.0,209.8,0.0,209.8,20.2,0.0,20.2,230.0,0.0,230.0,0.0,0.0,0.0
01/10/2009,236.8,215.8,0.7,216.5,20.3,0.0,20.3,236.1,0.7,236.8,0.0,0.0,0.0
01/11/2009,240.2,222.2,0.7,222.9,17.3,0.0,17.3,239.5,0.7,240.2,0.0,0.0,0.0
01/12/2009,244.4,226.9,0.7,227.6,16.8,0.0,16.8,243.6,0.7,244.3,0.0,0.0,0.0
01/01/2010,246.5,226.9,0.7,227.6,18.9,0.0,18.9,245.8,0.7,246.5,0.0,0.0,0.0
01/02/2010,243.0,225.3,0.7,226.0,17.0,0.0,17.0,242.3,0.7,243.0,0.0,0.0,0.0
01/03/2010,252.4,239.3,0.7,240.0,12.4,0.0,12.4,251.7,0.7,252.4,0.0,0.0,0.0
01/04/2010,251.3,235.7,0.7,236.4,14.9,0.0,14.9,250.5,0.7,251.2,0.0,0.0,0.0
01/05/2010,252.4,237.6,0.7,238.3,14.1,0.0,14.1,251.7,0.7,252.4,0.0,0.0,0.0
01/06/2010,250.8,235.7,0.7,236.4,14.4,0.0,14.4,250.0,0.7,250.7,0.0,0.0,0.0
01/07/2010,257.4,243.8,0.7,244.5,12.9,0.0,12.9,256.6,0.7,257.3,0.0,0.0,0.0
01/08/2010,244.6,233.1,2.0,235.1,9.5,0.0,9.5,242.6,2.0,244.6,0.0,0.0,0.0
01/09/2010,253.3,238.2,2.0,240.2,13.1,0.0,13.1,244.6,2.0,246.6,6.7,0.0,6.7
01/10/2010,265.8,248.3,2.0,250.3,15.5,0.0,15.5,257.2,2.0,259.2,6.5,0.0,6.5
01/11/2010,274.6,257.5,2.0,259.5,15.1,0.0,15.1,266.1,2.0,268.1,6.6,0.0,6.6
01/12/2010,267.5,253.5,2.0,255.5,12.0,0.0,12.0,258.7,2.0,260.7,6.7,0.0,6.7
01/01/2011,262.3,247.6,2.0,249.6,12.7,0.0,12.7,253.6,2.0,255.6,6.6,0.0,6.6
01/02/2011,263.8,248.1,2.0,250.1,13.7,0.0,13.7,255.2,2.0,257.2,6.6,0.0,6.6
01/03/2011,263.0,248.0,1.3,249.3,13.7,0.0,13.7,255.2,1.3,256.5,6.5,0.0,6.5
01/04/2011,270.0,254.7,2.8,257.5,12.5,0.0,12.5,260.9,2.8,263.7,6.3,0.0,6.3
01/05/2011,274.0,257.9,2.8,260.7,13.3,0.0,13.3,264.9,2.8,267.7,6.3,0.0,6.3
01/06/2011,279.3,256.2,2.8,259.0,20.3,0.0,20.3,270.1,2.8,272.9,6.4,0.0,6.4
01/07/2011,276.6,252.1,2.8,254.9,21.7,0.0,21.7,267.3,2.8,270.1,6.4,0.0,6.4
01/08/2011,277.9,250.7,2.8,253.5,24.4,0.0,24.4,268.3,2.8,271.1,6.7,0.0,6.7
01/09/2011,285.1,260.6,2.8,263.4,21.7,0.0,21.7,274.8,2.8,277.6,7.5,0.0,7.5
01/10/2011,291.7,266.4,2.8,269.2,22.5,0.0,22.5,281.6,2.8,284.4,7.2,0.0,7.2
01/11/2011,296.6,271.4,2.8,274.2,22.4,0.0,22.4,286.4,2.8,289.2,7.4,0.0,7.4
01/12/2011,295.3,271.4,2.8,274.2,21.1,0.0,21.1,285.0,2.8,287.8,7.6,0.0,7.6
01/01/2012,293.8,268.9,2.8,271.7,22.1,0.0,22.1,283.9,2.8,286.7,7.1,0.0,7.1
01/02/2012,305.5,273.5,2.8,276.3,29.2,0.0,29.2,295.7,2.8,298.5,7.0,0.0,7.0
01/03/2012,313.7,285.9,2.8,288.7,25.0,0.0,25.0,303.8,2.8,306.6,7.0,0.0,7.0
01/04/2012,301.2,275.7,2.8,278.5,22.7,0.0,22.7,291.3,2.8,294.1,7.1,0.0,7.1
01/05/2012,303.8,278.8,2.8,281.6,22.2,0.0,22.2,293.2,2.8,296.0,7.8,0.0,7.8
01/06/2012,310.5,283.3,4.5,287.8,22.7,0.0,22.7,296.0,4.5,300.5,10.0,0.0,10.0
01/07/2012,310.5,282.4,4.5,286.9,23.6,0.0,23.6,296.1,4.5,300.6,9.9,0.0,9.9
01/08/2012,312.0,283.2,4.5,287.7,24.3,0.0,24.3,297.7,4.5,302.2,9.9,0.0,9.9
01/09/2012,319.1,291.1,4.5,295.6,23.5,0.0,23.5,305.0,4.5,309.5,9.6,0.0,9.6
01/10/2012,320.6,293.7,3.0,296.7,23.9,0.0,23.9,307.9,3.0,310.9,9.8,0.0,9.8
01/11/2012,307.8,293.6,3.0,296.6,11.2,0.0,11.2,295.1,3.0,298.1,9.6,0.0,9.6
01/12/2012,306.3,285.2,3.0,288.2,18.1,0.0,18.1,293.7,3.0,296.7,9.7,0.0,9.7
01/01/2013,308.8,284.3,3.0,287.3,21.5,0.0,21.5,296.3,3.0,299.3,9.5,0.0,9.5
01/02/2013,317.1,294.0,4.0,298.0,19.1,0.0,19.1,303.5,4.0,307.5,9.5,0.0,9.5
01/03/2013,322.2,297.8,5.0,302.8,19.4,0.0,19.4,308.0,5.0,313.0,9.2,0.0,9.2
01/04/2013,328.5,302.6,5.0,307.6,20.9,0.0,20.9,314.5,5.0,319.5,9.1,0.0,9.1
01/05/2013,339.4,314.3,5.0,319.3,20.1,0.0,20.1,324.8,5.0,329.8,9.5,0.0,9.5
01/06/2013,344.6,319.5,5.0,324.5,20.1,0.0,20.1,329.8,5.0,334.8,9.7,0.0,9.7
01/07/2013,341.2,317.0,5.0,322.0,19.2,0.0,19.2,326.6,5.0,331.6,9.6,0.0,9.6
01/08/2013,345.4,320.8,5.0,325.8,19.6,0.0,19.6,330.4,5.0,335.4,9.9,0.0,9.9
01/09/2013,343.3,322.0,5.0,327.0,16.3,0.0,16.3,328.4,5.0,333.4,9.8,0.0,9.8
01/10/2013,341.1,319.8,5.0,324.8,16.3,0.0,16.3,326.4,5.0,331.4,9.7,0.0,9.7
01/11/2013,340.0,321.5,5.0,326.5,13.5,0.0,13.5,325.2,5.0,330.2,9.8,0.0,9.8
01/12/2013,348.9,333.6,5.0,338.6,10.3,0.0,10.3,334.1,5.0,339.1,9.8,0.0,9.8
01/01/2014,349.6,334.7,5.0,339.7,9.9,0.0,9.9,334.9,5.0,339.9,9.8,0.0,9.8
01/02/2014,353.2,337.1,5.0,342.1,11.1,0.0,11.1,338.5,5.0,343.5,9.7,0.0,9.7
01/03/2014,354.3,338.1,5.0,343.1,11.1,0.1,11.2,339.7,5.1,344.8,9.5,0.0,9.5
01/04/2014,355.6,340.2,5.0,345.2,9.8,0.6,10.4,340.5,5.6,346.1,9.6,0.0,9.6
01/05/2014,357.0,340.4,5.0,345.4,10.1,1.5,11.6,341.1,6.5,347.6,9.4,0.0,9.4
01/06/2014,353.1,336.4,5.0,341.4,9.3,2.4,11.7,336.2,7.4,343.6,9.5,0.0,9.5
01/07/2014,355.9,340.2,5.0,345.2,8.8,1.9,10.7,339.4,6.9,346.3,9.7,0.0,9.7
01/08/2014,362.9,347.5,5.0,352.5,8.8,1.6,10.4,346.7,6.6,353.3,9.5,0.0,9.5
01/09/2014,358.9,344.2,5.0,349.2,8.5,1.2,9.7,342.9,6.2,349.1,9.8,0.0,9.8
01/10/2014,357.4,339.3,7.1,346.4,9.6,1.4,11.0,339.1,8.6,347.7,9.8,0.0,9.8
01/11/2014,347.7,330.4,7.1,337.5,9.2,1.0,10.2,329.5,8.1,337.6,10.1,0.0,10.1
01/12/2014,344.9,329.6,7.1,336.7,8.0,0.2,8.2,326.9,7.4,334.3,10.8,0.0,10.8
01/01/2015,346.7,330.9,7.1,338.0,8.1,0.6,8.7,328.0,7.7,335.7,10.9,0.0,10.9
01/02/2015,356.7,339.6,9.2,348.8,7.3,0.6,7.9,336.1,9.8,345.9,10.9,0.0,10.9
01/03/2015,366.1,349.1,9.2,358.3,7.0,0.8,7.8,345.0,10.0,355.0,11.1,0.0,11.1
01/04/2015,368.0,349.7,9.2,358.9,8.5,0.6,9.1,346.9,9.8,356.7,11.2,0.0,11.2
01/05/2015,374.9,356.7,9.2,365.9,8.4,0.6,9.0,353.9,9.8,363.7,11.2,0.0,11.2
01/06/2015,381.4,363.5,9.2,372.7,8.3,0.4,8.7,360.3,9.6,369.9,11.5,0.0,11.5
01/07/2015,383.1,366.8,7.9,374.7,8.0,0.4,8.4,363.1,8.3,371.4,11.7,0.0,11.7
01/08/2015,400.1,383.7,7.9,391.6,8.1,0.4,8.5,381.7,8.3,390.0,10.1,0.0,10.1
01/09/2015,404.9,389.9,7.9,397.8,6.5,0.6,7.1,386.3,8.5,394.8,10.1,0.0,10.1
01/10/2015,404.0,389.3,7.9,397.2,6.2,0.6,6.8,385.6,8.5,394.1,9.9,0.0,9.9
01/11/2015,397.6,382.4,7.9,390.3,7.1,0.2,7.3,379.6,8.1,387.7,10.0,0.0,10.0
01/12/2015,407.0,392.2,9.1,401.3,5.7,0.0,5.7,387.5,9.1,396.6,10.3,0.0,10.3
01/01/2016,408.6,393.2,9.1,402.3,5.9,0.4,6.3,388.1,9.5,397.6,10.9,0.0,10.9
01/02/2016,412.1,397.0,9.1,406.1,5.6,0.4,6.0,391.8,9.5,401.3,10.9,0.0,10.9
01/03/2016,409.1,393.3,9.1,402.4,6.1,0.6,6.7,389.0,9.7,398.7,10.3,0.0,10.3
01/04/2016,414.1,397.8,9.1,406.9,6.6,0.6,7.2,394.1,9.7,403.8,10.3,0.0,10.3
01/05/2016,418.4,401.7,9.1,410.8,7.0,0.6,7.6,397.7,9.7,407.4,11.0,0.0,11.0
01/06/2016,413.3,396.1,9.1,405.2,8.1,0.0,8.1,393.1,9.1,402.2,11.1,0.0,11.1
01/07/2016,417.9,401.1,9.1,410.2,7.7,0.0,7.7,397.5,9.1,406.6,11.3,0.0,11.3
01/08/2016,423.1,404.7,9.1,413.8,9.3,0.0,9.3,402.6,9.1,411.7,11.3,0.0,11.3
01/09/2016,428.5,410.6,9.1,419.7,8.8,0.0,8.8,407.8,9.1,416.9,11.6,0.0,11.6
01/10/2016,432.0,417.2,9.1,426.3,5.7,0.0,5.7,411.6,9.1,420.7,11.3,0.0,11.3
01/11/2016,427.6,414.8,9.1,423.9,3.7,0.0,3.7,406.2,9.1,415.3,12.3,0.0,12.3
01/12/2016,429.5,414.3,9.1,423.4,6.1,0.0,6.1,408.1,9.1,417.2,12.4,0.0,12.4
01/01/2017,431.9,416.4,9.1,425.5,6.4,0.0,6.4,410.3,9.1,419.4,12.5,0.0,12.5
01/02/2017,433.2,417.5,9.1,426.6,6.6,0.0,6.6,412.2,9.1,421.3,12.0,0.0,12.0
01/03/2017,427.3,411.9,9.1,421.0,6.3,0.0,6.3,406.9,9.1,416.0,11.3,0.0,11.3
01/04/2017,428.3,412.7,9.1,421.8,6.5,0.0,6.5,407.9,9.1,417.0,11.4,0.0,11.4
01/05/2017,431.9,414.4,9.1,423.5,8.4,0.0,8.4,411.6,9.1,420.7,11.2,0.0,11.2
01/06/2017,443.5,426.2,7.4,433.6,9.9,0.0,9.9,425.2,7.4,432.6,10.8,0.0,10.8
01/07/2017,448.3,430.3,7.4,437.7,10.6,0.0,10.6,430.2,7.4,437.6,10.7,0.0,10.7
01/08/2017,451.0,432.4,7.4,439.8,11.2,0.0,11.2,433.0,7.4,440.4,10.7,0.0,10.7
01/09/2017,469.4,451.8,7.4,459.2,10.2,0.0,10.2,451.0,7.4,458.4,10.9,0.0,10.9
01/10/2017,487.5,468.3,7.4,475.7,11.8,0.0,11.8,468.6,7.4,476.0,11.5,0.0,11.5
01/11/2017,488.6,470.5,7.4,477.9,10.7,0.0,10.7,470.0,7.4,477.4,11.2,0.0,11.2
01/12/2017,488.2,471.5,7.4,478.9,9.3,0.0,9.3,469.0,7.4,476.4,11.8,0.0,11.8
01/01/2018,490.2,472.9,7.4,480.3,9.9,0.0,9.9,471.6,7.4,479.0,11.2,0.0,11.2
01/02/2018,488.8,471.1,7.4,478.5,10.3,0.0,10.3,470.1,7.4,477.5,11.3,0.0,11.3
01/03/2018,510.8,493.0,6.4,499.4,11.4,0.0,11.4,493.4,6.4,499.8,11.0,0.0,11.0
01/04/2018,518.8,500.7,6.4,507.1,11.7,0.0,11.7,501.2,6.4,507.6,11.3,0.0,11.3
01/05/2018,529.3,511.2,6.4,517.6,11.7,0.0,11.7,506.9,6.4,513.3,16.0,0.0,16.0
01/06/2018,527.1,509.2,6.4,515.6,11.5,0.0,11.5,505.0,6.4,511.4,15.8,0.0,15.8
01/07/2018,522.5,504.6,6.4,511.0,11.5,0.0,11.5,501.2,6.4,507.6,14.9,0.0,14.9
01/08/2018,523.5,505.3,6.4,511.7,11.8,0.0,11.8,501.7,6.4,508.1,15.3,0.0,15.3
01/09/2018,533.5,517.4,6.4,523.8,9.7,0.0,9.7,512.1,6.4,518.5,15.0,0.0,15.0
01/10/2018,535.3,519.5,6.4,525.9,9.4,0.0,9.4,512.7,6.4,519.1,16.3,0.0,16.3
01/11/2018,536.5,521.4,6.4,527.8,8.7,0.0,8.7,513.8,6.4,520.2,16.3,0.0,16.3
01/12/2018,542.7,527.3,6.4,533.7,9.0,0.0,9.0,520.6,6.4,527.0,15.7,0.0,15.7
01/01/2019,543.1,525.8,6.4,532.2,10.9,0.0,10.9,521.4,6.4,527.8,15.2,0.0,15.2
01/02/2019,544.7,526.2,6.4,532.6,12.1,0.0,12.1,522.8,6.4,529.2,15.4,0.0,15.4
01/03/2019,551.3,533.3,6.4,539.7,11.6,0.0,11.6,528.6,6.4,535.0,16.4,0.0,16.4
01/04/2019,552.3,533.3,6.4,539.7,12.6,0.0,12.6,529.9,6.4,536.3,16.1,0.0,16.1
01/05/2019,551.2,533.3,6.4,539.7,11.5,0.0,11.5,528.2,6.4,534.6,16.6,0.0,16.6
01/06/2019,564.6,545.8,6.4,552.2,12.4,0.0,12.4,542.0,6.4,548.4,16.2,0.0,16.2
01/07/2019,553.7,534.3,6.4,540.7,13.0,0.0,13.0,531.3,6.4,537.7,16.0,0.0,16.0
01/08/2019,554.5,535.1,6.4,541.5,13.0,0.0,13.0,531.2,6.4,537.6,17.0,0.0,17.0
01/09/2019,548.0,527.2,6.4,533.6,14.4,0.0,14.4,540.7,6.4,547.1,0.9,0.0,0.9
01/10/2019,542.7,522.3,6.4,528.7,14.0,0.0,14.0,535.4,6.4,541.8,0.9,0.0,0.9
01/11/2019,554.0,534.2,6.4,540.6,13.4,0.0,13.4,546.7,6.4,553.1,0.9,0.0,0.9
01/12/2019,552.9,534.4,6.4,540.8,12.1,0.0,12.1,545.7,6.4,552.1,0.8,0.0,0.8
01/01/2020,550.0,531.0,6.4,537.4,12.6,0.0,12.6,542.8,6.4,549.2,0.9,0.0,0.9
01/02/2020,553.6,533.3,6.4,539.7,13.9,0.0,13.9,546.3,6.4,552.7,0.9,0.0,0.9
01/03/2020,557.2,538.9,6.4,545.3,11.9,0.0,11.9,549.7,6.4,556.1,1.1,0.0,1.1
